verdict,title,lot_string,grade_class,language,product_line,current_total,max_bid_total,max_bid_hammer,headroom,comp,n_sales_90d,last_sold,confidence,fc_comp,fc_n_sales,fc_last_sold,win_likely,floor,active_supply,bids,auction_ends_at,url,reason
WATCH,1999 Pokemon Japanese Gold Poker Set Nintendo Playing Cards Elekid CGC 10 PRISTINE,WA239 Lot: 12236,CGC10_PRISTINE,JA,TCG,6.0,18.08,15.07,12.08,45.82,0,,0.35,25.2,1,2026-05-11,False,,,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/20e439a0-8f3f-11f1-99f6-0a58a9feac02/1999-pokemon-japanese-gold-poker-set-nintendo-playing-cards-elekid-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,1999 Pokemon Japanese Gold Poker Set Nintendo Playing Cards Togetic CGC 10 GEM MINT,WA239 Lot: 12255,CGC10_GEM,JA,TCG,6.0,18.08,15.07,12.08,45.82,0,,0.35,25.2,1,2026-06-15,False,,,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/210908b6-8f3f-11f1-834d-0a58a9feac02/1999-pokemon-japanese-gold-poker-set-nintendo-playing-cards-togetic-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2003 Pokemon Skyridge Golbat #60 CGC 10 GEM MINT,WA238 Lot: 11400F1,CGC10_GEM,EN,TCG,19.2,30.47,25.39,11.27,64.36,0,,0.35,35.4,4,2026-04-20,False,,,4,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/1e22d08c-8dd2-11f1-8258-0a58a9feac02/2003-pokemon-skyridge-golbat-60-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,1996 Pokemon Japanese Base Set Electrode #101 CGC 10 GEM MINT,WA238 Lot: 9138,CGC10_GEM,JA,TCG,14.4,22.93,19.11,8.53,52.85,3,2026-07-17,0.4,64.8,1,2026-04-20,False,,,6,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/e37fa58e-81e9-11f1-8b2b-0268fc90a949/1996-pokemon-japanese-base-set-electrode-101-cgc-10-gem-mint,"3 sales/90d — slow mover, bid only well under max"
WATCH,2004 Pokemon Japanese Black Deck Kit 1st Edition Dark Pupitar #10 CGC 10 GEM,WA239 Lot: 13000,CGC10_GEM,JA,TCG,0.0,9.33,7.77,9.33,32.73,0,,0.35,18.0,2,2026-05-25,False,,,0,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/df263f2e-8929-11f1-a1da-0a58a9feac02/2004-pokemon-japanese-black-deck-kit-1st-edition-dark-pupitar-10-cgc-10-gem,FC comps only — eBay sell-through unverified
WATCH,"2005 Pokemon Japanese Golden Sky, Silvery Ocean Houndour #017 CGC 10 GEM MINT",WA239 Lot: 13111,CGC10_GEM,JA,TCG,0.0,9.33,7.77,9.33,32.73,0,,0.35,18.0,1,2026-05-11,False,,,0,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/22555314-8f3f-11f1-b468-02fffc52e2df/2005-pokemon-japanese-golden-sky-silvery-ocean-houndour-017-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2003 Pokemon Skyridge Dugtrio #52 CGC 10 GEM MINT,WA239 Lot: 12970F1,CGC10_GEM,EN,TCG,0.0,9.33,7.77,9.33,32.73,0,,0.35,18.0,3,2025-08-18,False,499.99,1,0,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/efcf599e-920e-11f1-985f-0a58a9feac02/2003-pokemon-skyridge-dugtrio-52-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2002 Pokemon Expedition Golem #49 CGC 10 GEM MINT,WA238 Lot: 10933F2,CGC10_GEM,EN,TCG,26.4,34.85,29.04,8.45,70.91,0,,0.35,39.0,4,2026-07-06,False,,,6,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/dc79da60-8e38-11f1-9261-0a58a9feac02/2002-pokemon-expedition-golem-49-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,1999 Pokemon Japanese Gold Poker Set Nintendo Playing Cards Spinarak CGC 10 PRISTINE,WA239 Lot: 12244,CGC10_PRISTINE,JA,TCG,6.0,14.43,12.02,8.43,40.36,0,,0.35,22.2,2,2026-06-15,False,,,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/2097ed02-8f3f-11f1-82e4-0a58a9feac02/1999-pokemon-japanese-gold-poker-set-nintendo-playing-cards-spinarak-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,1998 Pokemon Japanese Topsun Vs. Series Zapdos #145 CGC 10 PRISTINE,WA239 Lot: 11820,CGC10_PRISTINE,JA,TOPSUN,0.0,4.4,3.67,4.4,24.97,4,2026-08-02,0.66,,,,,,,0,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/b830c2d8-8e90-11f1-95b8-02fff857c219/1998-pokemon-japanese-topsun-vs-series-zapdos-145-cgc-10-pristine,"4 sales/90d — slow mover, bid only well under max"
WATCH,2006 Pokemon Japanese Bandai Kids Cards Attack 5 Chatot Uproar #395 CGC 10 PRISTINE,WA238 Lot: 11897F1,CGC10_PRISTINE,JA,BANDAI,22.8,29.75,24.79,6.95,63.27,0,,0.35,34.8,2,2026-08-03,False,,,4,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/01d898da-8c97-11f1-b40c-0a58a9feac02/2006-pokemon-japanese-bandai-kids-cards-attack-5-chatot-uproar-395-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,2004 Pokemon Japanese Silver Deck Kit Dratini #008 CGC 10 GEM MINT,WA239 Lot: 13055,CGC10_GEM,JA,TCG,0.0,6.4,5.34,6.4,28.36,0,,0.35,15.6,1,2026-04-20,False,,,0,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/2260aea8-8f3f-11f1-9323-02ffdb6fa243/2004-pokemon-japanese-silver-deck-kit-dratini-008-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2004 Pokemon Japanese Silver Deck Kit Dratini #8 CGC 10 GEM MINT,WA239 Lot: 13056,CGC10_GEM,JA,TCG,0.0,6.4,5.34,6.4,28.36,0,,0.35,15.6,1,2026-04-20,False,,,0,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/451e8712-8f58-11f1-b99c-0a58a9feac02/2004-pokemon-japanese-silver-deck-kit-dratini-8-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2004 Pokemon EX Team Rocket Returns Dratini #52 CGC 10 GEM MINT,WA239 Lot: 13031,CGC10_GEM,EN,TCG,6.0,12.24,10.2,6.24,37.09,0,,0.35,20.4,7,2026-07-20,False,24.99,2,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/e7384236-8db4-11f1-b816-02ffdfe127cb/2004-pokemon-ex-team-rocket-returns-dratini-52-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2005 Pokemon EX Deoxys Baltoy #53 CGC 10 PRISTINE,WA238 Lot: 11757,CGC10_PRISTINE,EN,TCG,28.8,32.67,27.22,3.87,67.64,0,,0.35,37.2,1,2026-03-23,False,,,3,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/67e2d27e-89f1-11f1-a0cc-0a58a9feac02/2005-pokemon-ex-deoxys-baltoy-53-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,2006 Pokemon Japanese Holon Phantom 1st Edition Kabuto #20 CGC 10 GEM MINT,WA238 Lot: 11992F1,CGC10_GEM,JA,TCG,10.8,14.67,12.23,3.87,40.73,0,,0.35,22.4,7,2026-08-03,False,,,5,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/02410ad2-8c97-11f1-aa77-068eb5fae0c5/2006-pokemon-japanese-holon-phantom-1st-edition-kabuto-20-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2003 Pokemon EX Dragon Reverse Holo Magnemite #63 CGC 10 GEM MINT,WA238 Lot: 11187,CGC10_GEM,EN,TCG,9.6,10.84,9.04,1.24,34.57,4,2026-07-04,0.53,39.0,2,2025-09-08,False,379.99,1,3,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/eb6ee422-86ac-11f1-878d-02ba9858bad3/2003-pokemon-ex-dragon-reverse-holo-magnemite-63-cgc-10-gem-mint,"4 sales/90d — slow mover, bid only well under max"
WATCH,1999 Pokemon Base Set Shadowless Haunter #29 CGC 10 GEM MINT,WA238 Lot: 9681,CGC10_GEM,EN,TCG,37.2,38.5,32.08,1.3,76.36,0,,0.35,42.0,4,2026-06-08,False,,,13,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/e3546e5a-81e9-11f1-a866-0ac5077ca319/1999-pokemon-base-set-shadowless-haunter-29-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2001 Pokemon Neo Discovery Unown E #67 CGC 10 GEM MINT,WA238 Lot: 3744F2,CGC10_GEM,EN,TCG,13.2,13.7,11.42,0.5,39.27,0,,0.35,21.6,1,2025-05-19,False,129.99,1,4,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/68b9063e-8e36-11f1-bc46-0a58a9feac02/2001-pokemon-neo-discovery-unown-e-67-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2006 Pokemon Japanese Holon Phantom 1st Edition Kabuto #20 CGC 10 GEM MINT,WA238 Lot: 11992,CGC10_GEM,JA,TCG,14.4,14.67,12.23,0.27,40.73,0,,0.35,22.4,7,2026-08-03,False,,,4,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/0495c8c0-8974-11f1-9804-0a4085219e11/2006-pokemon-japanese-holon-phantom-1st-edition-kabuto-20-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
PASS,2007 Pokemon Japanese Shining Darkness Jynx CGC 10 GEM MINT,WA239 Lot: 13395,CGC10_GEM,JA,TCG,0.0,0.0,0.0,0.0,10.75,4,2026-07-07,0.41,,,,,,,0,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/76b9df66-9065-11f1-9bb1-0a58a9feac02/2007-pokemon-japanese-shining-darkness-jynx-cgc-10-gem-mint,current price already above max bid
PASS,1999 Pokemon Japanese Gold Poker Set Nintendo Playing Cards Ariados CGC 10 GEM MINT,WA239 Lot: 12231,CGC10_GEM,JA,TCG,6.0,5.68,4.73,-0.32,27.27,0,,0.35,15.0,2,2026-06-08,False,,,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/2095daf8-8f3f-11f1-9395-0ab074b9e38b/1999-pokemon-japanese-gold-poker-set-nintendo-playing-cards-ariados-cgc-10-gem-mint,current price already above max bid
PASS,2007 Pokemon EX Power Keepers Skitty #62 CGC 10 GEM MINT,WA238 Lot: 12103,CGC10_GEM,EN,TCG,19.2,18.08,15.07,-1.12,45.82,0,,0.35,25.2,1,2026-04-27,False,,,5,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/e3a66c0a-81e9-11f1-a149-0a58a9feac02/2007-pokemon-ex-power-keepers-skitty-62-cgc-10-gem-mint,current price already above max bid
PASS,2005 Pokemon Japanese Holon Research Tower 1st Edition Larvitar #13 CGC 10 GEM MINT,WA238 Lot: 11862,CGC10_GEM,JA,TCG,18.0,14.19,11.82,-3.81,40.0,0,,0.35,22.0,14,2026-08-03,False,,,6,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/04945756-8974-11f1-913c-0a58a9feac02/2005-pokemon-japanese-holon-research-tower-1st-edition-larvitar-13-cgc-10-gem-mint,current price already above max bid
PASS,1997 Pokemon Japanese Topsun VS Series Dugtrio #051 CGC 10 GEM MINT,WA238 Lot: 9448F8,CGC10_GEM,JA,TOPSUN,26.4,22.45,18.71,-3.95,52.36,0,,0.35,28.8,1,2026-04-27,False,59.99,1,3,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/020835e0-8c97-11f1-bb82-06b18b2cc8d5/1997-pokemon-japanese-topsun-vs-series-dugtrio-051-cgc-10-gem-mint,current price already above max bid
PASS,2003 Pokemon Skyridge Diglett #50 CGC 10 GEM MINT,WA238 Lot: 11394,CGC10_GEM,EN,TCG,9.6,4.95,4.12,-4.65,26.18,0,,0.35,14.4,1,2025-03-03,False,199.0,1,4,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/e3a8c158-81e9-11f1-aabf-0a58a9feac02/2003-pokemon-skyridge-diglett-50-cgc-10-gem-mint,current price already above max bid
PASS,2002 Pokemon Japanese Wind From The Sea 1st Edition Forest Guardian #079 CGC 10 GEM MINT,WA238 Lot: 11071,CGC10_GEM,JA,TCG,12.0,6.4,5.34,-5.6,28.36,0,,0.35,15.6,1,2026-04-20,False,,,2,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/e35ef6c2-81e9-11f1-a431-0a58a9feac02/2002-pokemon-japanese-wind-from-the-sea-1st-edition-forest-guardian-079-cgc-10-gem-mint,current price already above max bid
PASS,2005 Pokemon Ex Deoxys Lotad #63 CGC 10 GEM MINT,WA238 Lot: 11761,CGC10_GEM,EN,TCG,12.0,6.4,5.34,-5.6,28.36,0,,0.35,15.6,1,2026-04-20,False,,,5,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/67f01a9c-89f1-11f1-befb-0a58a9feac02/2005-pokemon-ex-deoxys-lotad-63-cgc-10-gem-mint,current price already above max bid
PASS,2004 Pokemon EX Team Magma VS Aqua Holo Team Aqua's Walrein #6 CGC 10 GEM MINT,WA238 Lot: 11511,CGC10_GEM,EN,TCG,98.4,92.69,77.24,-5.71,157.09,0,,0.35,86.4,1,2025-09-01,True,279.99,1,18,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/ba2e32d0-8b86-11f1-8f25-0a58a9feac02/2004-pokemon-ex-team-magma-vs-aqua-holo-team-aquas-walrein-6-cgc-10-gem-mint,current price already above max bid
PASS,2003 Pokemon Skyridge Dugtrio #52 CGC 10 GEM MINT,WA238 Lot: 11397,CGC10_GEM,EN,TCG,16.8,9.33,7.77,-7.47,32.73,0,,0.35,18.0,3,2025-08-18,False,499.99,1,6,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/e38803c8-81e9-11f1-97b5-0a58a9feac02/2003-pokemon-skyridge-dugtrio-52-cgc-10-gem-mint,current price already above max bid
PASS,2000 Pokemon Japanese Neo Holo Bellossom #182 CGC 10 GEM MINT,WA238 Lot: 10407,CGC10_GEM,JA,TCG,103.2,95.52,79.6,-7.68,161.45,0,,0.35,88.8,3,2026-08-03,True,,,2,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/140503b6-8af0-11f1-9228-02fff561b66f/2000-pokemon-japanese-neo-holo-bellossom-182-cgc-10-gem-mint,current price already above max bid
PASS,1997 Pokemon Japanese Fossil Arbok #24 CGC 10 PRISTINE,WA239 Lot: 11693,CGC10_PRISTINE,JA,TCG,6.0,2.16,1.8,-3.84,21.66,5,2026-08-05,0.74,,,,,,,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/1ca01a24-9027-11f1-a78b-0a58a9feac02/1997-pokemon-japanese-fossil-arbok-24-cgc-10-pristine,current price already above max bid
PASS,2004 Pokemon EX Fire Red & Leaf Green Exeggcute #33 CGC 10 GEM MINT,WA238 Lot: 11450,CGC10_GEM,EN,TCG,21.6,12.24,10.2,-9.36,37.09,0,,0.35,20.4,1,2023-08-28,False,,,3,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/e3b3cd14-81e9-11f1-be9b-0218fdbcf1a5/2004-pokemon-ex-fire-red-leaf-green-exeggcute-33-cgc-10-gem-mint,current price already above max bid
PASS,2003 Pokemon EX Dragon Reverse Holo Wurmple #81 CGC 10 GEM MINT,WA238 Lot: 11209,CGC10_GEM,EN,TCG,32.4,22.94,19.12,-9.46,53.09,0,,0.35,29.2,3,2025-09-08,False,,,4,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/eb529b3c-86ac-11f1-8551-02ba9858bad3/2003-pokemon-ex-dragon-reverse-holo-wurmple-81-cgc-10-gem-mint,current price already above max bid
PASS,2000 Topps Pokemon Series 3 Flareon #136 CGC 10 GEM MINT,WA238 Lot: 10704,CGC10_GEM,EN,TOPPS,25.2,12.97,10.81,-12.23,38.18,0,,0.35,21.0,2,2025-08-25,False,,,9,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/ab2439b4-8b87-11f1-9208-06b280e0690b/2000-topps-pokemon-series-3-flareon-136-cgc-10-gem-mint,current price already above max bid
PASS,2004 Pokemon EX Fire Red & Leaf Green Holo Great Ball #92 CGC 10 GEM MINT,WA238 Lot: 11470,CGC10_GEM,EN,TCG,31.2,18.08,15.07,-13.12,45.82,0,,0.35,25.2,1,2025-10-27,False,,,3,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/e2f94688-81e9-11f1-9beb-0a58a9feac02/2004-pokemon-ex-fire-red-leaf-green-holo-great-ball-92-cgc-10-gem-mint,current price already above max bid
PASS,1998 Pokemon Japanese Vending Series 3 Weezing #110 CGC 10 PRISTINE,WA238 Lot: 9609F1,CGC10_PRISTINE,JA,TCG,84.0,70.03,58.36,-13.97,122.18,0,,0.35,67.2,5,2026-07-06,True,,,12,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/3e249ecc-8d02-11f1-a097-0a58a9feac02/1998-pokemon-japanese-vending-series-3-weezing-110-cgc-10-pristine,current price already above max bid
PASS,2004 Pokemon EX Fire Red & Leaf Green Reverse Holo EXP.ALL #91 CGC 10 GEM MINT,WA238 Lot: 11469,CGC10_GEM,EN,TCG,31.2,16.62,13.85,-14.58,43.64,0,,0.35,24.0,4,2026-02-09,False,,,3,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/e2cfb7f0-81e9-11f1-8b52-0af80891365d/2004-pokemon-ex-fire-red-leaf-green-reverse-holo-expall-91-cgc-10-gem-mint,current price already above max bid
PASS,2007 Pokemon Japanese Diamond & Pearl Secret Of The Lakes Electrike #360 CGC 10 GEM MINT,WA238 Lot: 12137F1,CGC10_GEM,JA,TCG,15.6,0.57,0.48,-15.03,19.64,0,,0.35,10.8,1,2026-03-23,False,,,2,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/02d8ba1c-8c97-11f1-9706-0a67e066e685/2007-pokemon-japanese-diamond-pearl-secret-of-the-lakes-electrike-360-cgc-10-gem-mint,current price already above max bid
PASS,2003 Pokemon EX Sandstorm Reverse Holo Elekid #36 CGC 10 GEM MINT,WA238 Lot: 11295,CGC10_GEM,EN,TCG,49.2,34.12,28.44,-15.08,69.82,0,,0.35,38.4,2,2025-05-05,False,,,8,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/4d3f210a-8a89-11f1-bfee-02fff561b66f/2003-pokemon-ex-sandstorm-reverse-holo-elekid-36-cgc-10-gem-mint,current price already above max bid
PASS,2004 Pokemon EX Team Magma VS Aqua Holo Team Aqua's Sharpedo #5 CGC 10 GEM MINT,WA238 Lot: 11507,CGC10_GEM,EN,TCG,228.0,210.24,175.2,-17.76,338.18,0,,0.35,186.0,1,2026-06-08,True,,,11,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/eaef5266-86ac-11f1-a6c6-02ba9858bad3/2004-pokemon-ex-team-magma-vs-aqua-holo-team-aquas-sharpedo-5-cgc-10-gem-mint,current price already above max bid
PASS,2009 Pokemon Japanese HeartGold Collection 1st Edition Phanpy #44 CGC 10 GEM MINT,WA238 Lot: 12222F1,CGC10_GEM,JA,TCG,18.0,0.0,0.0,-18.0,17.45,0,,0.35,9.6,1,2025-05-12,False,,,2,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/9882d9d4-8c43-11f1-9af5-0a58a9feac02/2009-pokemon-japanese-heartgold-collection-1st-edition-phanpy-44-cgc-10-gem-mint,current price already above max bid
PASS,1999 Pokemon Base Set Shadowless Gastly #50 CGC 10 GEM MINT,WA238 Lot: 9701,CGC10_GEM,EN,TCG,49.2,27.56,22.97,-21.64,60.0,0,,0.35,33.0,10,2026-08-03,False,,,5,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/e3522690-81e9-11f1-aadf-0268fc90a949/1999-pokemon-base-set-shadowless-gastly-50-cgc-10-gem-mint,current price already above max bid
PASS,2000 Pokemon Japanese Neo Holo Metal Energy CGC 10 GEM MINT,WA238 Lot: 10422,CGC10_GEM,JA,TCG,38.4,16.64,13.86,-21.76,43.56,4,2026-06-03,0.38,20.4,3,2025-08-05,False,223.0,1,3,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/13e836b4-8af0-11f1-bfea-02fff561b66f/2000-pokemon-japanese-neo-holo-metal-energy-cgc-10-gem-mint,current price already above max bid
PASS,2003 Pokemon EX Sandstorm Reverse Holo Wobbuffet #26 CGC 10 GEM MINT,WA238 Lot: 11285,CGC10_GEM,EN,TCG,56.4,23.91,19.93,-32.49,54.55,0,,0.35,30.0,1,2023-10-03,False,,,9,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/4d4b7be4-8a89-11f1-a61b-02fff561b66f/2003-pokemon-ex-sandstorm-reverse-holo-wobbuffet-26-cgc-10-gem-mint,current price already above max bid
PASS,2000 Pokemon Gym Challenge 1st Edition Holo Giovanni's Gyarados #5 CGC 10 GEM MINT,WA238 Lot: 10438F1,CGC10_GEM,EN,TCG,690.0,656.36,546.97,-33.64,1025.45,0,,0.35,564.0,7,2026-04-06,True,,,12,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/bb569d94-8d04-11f1-aff1-0a58a9feac02/2000-pokemon-gym-challenge-1st-edition-holo-giovannis-gyarados-5-cgc-10-gem-mint,current price already above max bid
PASS,2001 Pokemon Movie 3 Promo Reverse Holo Entei #34 CGC 10 GEM MINT,WA238 Lot: 10736F1,CGC10_GEM,EN,TCG,103.2,80.33,66.94,-22.87,132.9,5,2026-07-23,0.71,67.2,36,2026-07-20,True,142.99,1,14,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/677bae20-8d2d-11f1-8660-0a58a9feac02/2001-pokemon-movie-3-promo-reverse-holo-entei-34-cgc-10-gem-mint,current price already above max bid
PASS,1997 Pokemon Japanese Jungle Holo Kangaskhan #115 CGC 10 GEM MINT,WA238 Lot: 9410F1,CGC10_GEM,JA,TCG,150.0,91.28,76.06,-58.72,154.91,0,,0.35,85.2,8,2026-02-16,True,1455.0,2,10,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/aa982df8-8ded-11f1-9bb1-06babd792365/1997-pokemon-japanese-jungle-holo-kangaskhan-115-cgc-10-gem-mint,current price already above max bid
PASS,2003 Pokemon EX Dragon Reverse Holo Magikarp #60 CGC 10 GEM MINT,WA238 Lot: 11182,CGC10_GEM,EN,TCG,86.4,37.84,31.53,-48.56,73.82,3,2026-07-13,0.57,74.4,2,2025-12-01,False,,,7,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/fc0b175a-86b7-11f1-a155-02ba9858bad3/2003-pokemon-ex-dragon-reverse-holo-magikarp-60-cgc-10-gem-mint,current price already above max bid
PASS,2005 Pokemon EX Delta Species Ditto Geodude #62 CGC 10 GEM MINT,WA238 Lot: 11742,CGC10_GEM,EN,TCG,132.0,32.67,27.22,-99.33,67.64,0,,0.35,37.2,3,2026-06-01,False,,,12,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/e3ab5c24-81e9-11f1-b08d-0a58a9feac02/2005-pokemon-ex-delta-species-ditto-geodude-62-cgc-10-gem-mint,current price already above max bid
PASS,1999 Pokemon Base Set Holo Mewtwo #10 CGC 10 GEM MINT,WA238 Lot: 9637F1,CGC10_GEM,EN,TCG,516.0,455.56,379.64,-60.44,684.47,5,2026-07-31,0.74,336.0,3,2026-06-22,True,5999.0,1,10,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/57dc01f0-8ce6-11f1-9944-0a58a9feac02/1999-pokemon-base-set-holo-mewtwo-10-cgc-10-gem-mint,current price already above max bid
PASS,1997 Pokemon Japanese Rocket Gang Holo Dark Magneton #82 CGC 10 PRISTINE,WA238 Lot: 9422F1,CGC10_PRISTINE,JA,TCG,252.0,118.89,99.08,-133.11,197.45,0,,0.35,108.6,2,2023-03-27,True,,,10,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/3d2ddc4a-8d02-11f1-9a3e-0a58a9feac02/1997-pokemon-japanese-rocket-gang-holo-dark-magneton-82-cgc-10-pristine,current price already above max bid
PASS,2001 Pokemon Movie 3 Promo Reverse Holo Entei #34 CGC 10 GEM MINT,WA238 Lot: 10737,CGC10_GEM,EN,TCG,150.0,80.33,66.94,-69.67,132.9,5,2026-07-23,0.71,67.2,36,2026-07-20,True,142.99,1,7,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/af0d6e76-8b80-11f1-8880-0a273aee5737/2001-pokemon-movie-3-promo-reverse-holo-entei-34-cgc-10-gem-mint,current price already above max bid
PASS,1996 Pokemon Japanese Base Set Bulbasaur #1 CGC 10 PRISTINE,WA238 Lot: 9124,CGC10_PRISTINE,JA,TCG,168.0,45.0,37.5,-123.0,84.93,4,2026-07-26,0.49,86.4,3,2025-09-08,False,,,12,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/04938d8a-8974-11f1-b455-0a58a9feac02/1996-pokemon-japanese-base-set-bulbasaur-1-cgc-10-pristine,current price already above max bid
PASS,2000 Pokemon Black Star Promo World Collection Birthday Pikachu #24 CGC 10 GEM MINT,WA238 Lot: 10363,CGC10_GEM,EN,TCG,264.0,154.35,128.63,-109.65,246.31,3,2026-07-07,0.56,372.0,2,2026-04-06,False,1777.77,1,11,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/13c397b4-8af0-11f1-a265-02fff561b66f/2000-pokemon-black-star-promo-world-collection-birthday-pikachu-24-cgc-10-gem-mint,current price already above max bid
PASS,2003 Pokemon EX Sandstorm Reverse Holo Psyduck #73 CGC 10 GEM MINT,WA238 Lot: 11336,CGC10_GEM,EN,TCG,186.0,59.28,49.4,-126.72,103.5,3,2026-07-08,0.55,,,,,,,19,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/31a6cb00-8629-11f1-b615-02ba9858bad3/2003-pokemon-ex-sandstorm-reverse-holo-psyduck-73-cgc-10-gem-mint,current price already above max bid
PASS,2005 Pokemon EX Delta Species Reverse Holo Ditto Pikachu #63 CGC 10 GEM MINT,WA238 Lot: 11744F1,CGC10_GEM,EN,TCG,408.0,174.84,145.7,-233.16,283.64,0,,0.35,156.0,1,2025-01-27,True,,,26,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/c1b1d446-8c24-11f1-ac4b-02ffe44e7cf3/2005-pokemon-ex-delta-species-reverse-holo-ditto-pikachu-63-cgc-10-gem-mint,current price already above max bid
PASS,2002 Pokemon Legendary Collection Reverse Holo Gyarados #12 CGC 10 GEM MINT,WA238 Lot: 11021F1,CGC10_GEM,EN,TCG,2520.0,1690.23,1408.53,-829.77,2618.18,0,,0.35,1440.0,2,2025-05-26,True,35000.0,1,22,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/f64b0030-8c59-11f1-975b-02fffb99a151/2002-pokemon-legendary-collection-reverse-holo-gyarados-12-cgc-10-gem-mint,current price already above max bid
